표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아	뜻풀이
가는갈퀴나물	[명사][방언]	NNG	00_00_00	 	 	 	 	가는갈키노물, 가는갈키노믈	가는갈키노믈	 	 	 	 	 	 	 	 	 	 	 	 	콩과의 두해살이풀
가는귀먹다	[동사][방언]	VV	00_00_00	 	 	 	 	가는귀묵다, 실먹다, 실기먹다	실먹다	 	 	가는귀막다	 	 	 	 	 	 	 	 	 	작은 소리를 잘 알아듣지 못할 정도로 귀가 조금 먹다.
가는소금	[명사][방언]	NNG	00_00_00	 	 	고운소곰	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	정제를 여러 번 한 소금. 색깔이 하얗고 보드랍다.
가는잎할미꽃	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	고냉이쿨	 	 	 	 	 	 	 	 	 	미나리아재빗과의 여러해살이풀
가는잎향유	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	콩생이쿨, 풀콩생이쿨	 	 	 	 	 	 	 	 	 	꿀풀과의 한해살이풀
가는체	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	모수미	 	 	 	 	 	 	 	올이 가늘고 구멍이 잔 체.
가늘다	[형용사][방언]	VA	00_00_00	가느다	 	가눌다, 가느다, 약캅다	가느다, 가늘따	가눌다, 가눕다, 가늘하다, 가늘허다	가눌다, 가늘허다	가날다	 	까늘다, 깨늘다	 	 	 	가느다	 	가눌다	 	가느다	 	긴 물체의 굵기나 너비가 보통에 미치지 못하고 얇거나 좁다
가늘디가늘다	[형용사][방언]	VA	00_00_00	가느데가늘다	 	 	 	 	 	 	 	가는가는하다	 	 	 	 	 	 	 	 	 	매우 가늘다.
가늠	[명사][방언]	NNG	00_00_00	 	 	눈가름, 눈어름	어럼	가남, 가눔, 까남, 눈가람	가남, 갈름	갈름	 	가남	 	 	 	 	 	 	 	 	 	목표나 기준에 맞고 안 맞음을 헤아려 봄. 
가늠하다	[동사][방언]	VV	00_00_00	 	 	 	 	가남허다	 	 	 	가남하다	 	 	 	 	 	 	 	 	 	목표나 기준에 맞고 안 맞음을 헤아려 봄
가능하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	 	가넝하다	 	 	 	 	미존재 뜻풀이
가다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	 	니가다	 	 	 	 	 	 	 	미존재 뜻풀이
가다가	[부사][방언]	MAG	00_00_00	가더가, 가더거, 가드거	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	어떤 일을 계속하는 동안에 어쩌다가 이따금.
가다가다	[부사][방언]	MAG	00_00_00	가더가더	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	동안이 뜨게 이따금
가다랑어	[명사][방언]	NNG	00_00_00	 	 	강고등어	 	강고등어	 	 	 	멍치, 멍쳉이, 소용치	목맨둥이	 	 	 	 	 	 	 	 	고등엇과의 바닷물고기
가다루다	[동사][방언]	VV	00_00_00	 	 	 	 	닥달허다	 	 	 	 	 	 	 	 	 	 	 	 	 	논밭을 갈아서 다루다.
가닥	[명사][방언]	NNG	00_00_00	가다리, 가달, 가달배이, 가닥지, 가달패기, 가달피이	 	 	가대이	가다구	가다구	 	 	가달머리, 껍	 	가다리	 	 	 	 	 	 	 	한군데서 갈려 나온 낱낱의 줄.
가닥가닥	[부사][방언]	MAG	00_00_00	가달가달	 	까덜까덜	가대기가대기, 가디기가디기, 가래기가래기	까락까락, 까락까락	까락까락, 까락까락	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가닥가닥하다	[동사][방언]	VV	00_00_00	 	 	까덜까덜하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가당찮다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가당챊다	 	 	 	 	 	 	도무지 사리에 맞지 않다. '당찮다'로 순화.
가대기	[명사][방언]	NNG	00_00_00	 	 	가대기질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가댁질	[명사][방언]	NNG	00_00_00	 	 	 	꼬댁질	 	 	 	 	과닥, 가닥질, 가달거리, 가달춤, 과닥질, 셍과댁	 	 	 	 	 	 	 	 	 	아이들이 서로 잡으려고 쫓고, 이리저리 피해 달아나며 뛰노는 장난
가댁질하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가닥질하다, 가달거리하다, 가달춤추다, 과닥하다, 과닥질하다	 	 	 	 	 	 	 	 	 	아이들이 서로 잡으려고 쫓고, 이리저리 피해 달아나며 뛰노는 장난
가동가동	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가동강가동강, 가동강가동강, 개동개동, 개동독닥	 	 	 	 	 	 	 	 	 	어린아이의 겨드랑이를 치켜들고 올렸다 내렸다 하며 어를 때에, 아이가 자꾸 다리를 오그렸다 폈다 하는 모양
가동질	[명사][방언]	NNG	00_00_00	가둥질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	어린아이의 겨드랑이를 치켜들고 올렸다 내렸다 하며 어를 때에, 아이가 다리를 오그렸다 폈다 하는 짓
가동질하다	[동사][방언]	VV	00_00_00	가둥질하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	어린아이의 겨드랑이를 치켜들고 올렸다 내렸다 하며 어를 때에, 아이가 다리를 오그렸다 폈다 하는 짓
가두다	[동사][방언]	VV	00_00_00	가두쿠다, 가추다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가드락가드락	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가들락가들락, 개들락개들락, 개들랑개들랑	 	 	 	 	 	 	 	 	 	조금 거만스럽게 잘난 체하며 자꾸 버릇없이 구는 모양.
가드락거리다	[동사][방언]	VV	00_00_00	 	 	 	깨드랑그리다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	조금 거만스럽게 잘난 체하며 자꾸 버릇없이 굴다.
가득	[부사][방언]	MAG	00_00_00	 	 	 	한굼, 한그	까뜩	 	 	 	드끈	 	 	잠북, 장북	자뜩	 	 	 	 	 	미존재 뜻풀이
가득	[부사][방언]	MAG	01_00_00	 	 	항개	 	따뿍	 	 	 	 	 	 	골똑, 꼴똑	골똑, 꼴똑	 	 	 	 	 	분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.
가득가득	[부사][방언]	MAG	00_00_00	가덕가덕	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가득가득하다	[형용사][방언]	VA	00_00_00	가덕가덕하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양
가득하다	[형용사][방언]	VA	00_00_00	 	 	깍차다, 항거차다, 항거석이다, 항게차다	 	가덕하다, 가득차다, 까득하다, 까득허다, 깍차다, 끄덕허다, 끄뜩허다, 하나차다	까득하다	꼴똑차다, 한극하다	꼴똑차다	가득다, 잠뿍하다	 	가닥하다, 개득하다	골똑차다, 꼴똑차다, 자뜩하다	꼴똑하다, 꼴뚝하다, 자뜩하다	 	꼴똑차다	 	골똑차다, 꼴똑차다	 	미존재 뜻풀이
가득히	[부사][방언]	MAG	00_00_00	 	 	 	 	복이	 	 	 	 	 	 	 	 	 	 	 	 	 	분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.
가든그리다	[동사][방언]	VV	00_00_00	 	 	 	 	가둥끄리다	가둥끄리다	 	 	 	 	 	 	 	 	 	 	 	 	가든하게 거두어 싸다.
가든하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	 	 	가드근하다	 	 	 	 	 	 	 	물건이나 차림새 따위가 다루거나 움직이기에 가볍고 간편하다
가뜩	[부사][방언]	MAG	00_00_00	까떡, 까뜩, 깔떡, 깔뜩	 	개따	까뜩	 	 	 	 	디깍, 수빡, 치깍	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가뜩	[부사][방언]	MAG	01_00_00	 	 	 	 	 	 	 	 	 	 	갑북	 	 	 	 	 	 	 	분량이나 수요 따위가 어떤 범위나 한도에 꽉 찬 모양
가뜩	[부사][방언]	MAG	02_00_00	 	 	한거	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	그러지 않아도 매우.
가뜩가뜩	[부사][방언]	MAG	00_00_00	까떡꺼떡, 깔떡깔떡, 깔뜩깔뜩	 	 	 	까뜩까뜩	 	 	 	 	 	 	 	 	 	 	 	 	 	분량이나 수효 따위가 어떤 범위나 한도에 여럿이 다 또는 매우 꽉 찬 모양
가뜩이	[부사][방언]	MAG	00_00_00	가띡이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가뜩이나	[부사][방언]	MAG	00_00_00	가띡이나, 가제나, 까타나	 	개따나, 개따내	 	 	 	 	 	 	게따가나, 가따나, 개따나, 게다가나, 까딱이나	가따가나, 게따가나, 가따나, 개따나, 게다가나, 까딱이나, 까탄나	가따가나, 가따나, 그뜩이나	가뜩으나	가따나	 	까탄나	 	 	그러지 않아도 매우.
가뜩하다	[형용사][방언]	VA	00_00_00	까떡하다, 깔떡하다, 깔뜩하다	 	가뜩차다	가뜩차다, 까뜩차다	가뜩채다, 까뜩하다, 까뜩허다	 	까뜩하다	 	디깍하다	 	까뜩차다	까뜩차다	까뜩차다	 	까뜩차다	까뜩차다	가뜩차다, 까뜩차다	 	분량이나 수요 따위가 어떤 범위나 한도에 꽉 찬 모양
가라말	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	진가라몰, 가래말, 가레말, 먹가라, 먹가라말, 진가라말	 	 	 	 	 	 	 	 	 	털빛이 온통 검은 말.
가라사대	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	가르사되	 	 	 	 	 	 	 	 	 	(문어체로) '말씀하시되'의 뜻으로 쓰이는 말
가라앉다	[동사][방언]	VV	00_00_00	가러앉다, 까러앉다	 	깔앉다	깔앉다	깔앙그다, 갈앙그다, 갈앙따, 까라앙따, 깔안지다, 깔앉다, 깔앙따, 깔앙지다, 깔아지다	 	 	 	갈라아지다, 갈라안지다, 갈라앉다, 갈라앚다	 	 	 	 	 	 	 	 	 	물 따위에 떠 있거나 섞여 있는 것이 밑바닥으로 내려앉다
가라앉히다	[동사][방언]	VV	00_00_00	가러앉히다, 까러앉히다	 	 	 	갈앙치다, 까라앙치다, 까라앉히다, 깔앉히다, 깔앙치다	까라앉히다	 	 	잔질루다, 잔줄르다	 	 	 	 	 	 	 	 	 	물 따위에 떠 있거나 섞여 있는 것이 밑바닥으로 내려앉다
가라지	[명사][방언]	NNG	00_00_00	개래지	 	 	 	 	 	 	 	각작고등에	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가라지	[명사][방언]	NNG	02_00_00	 	 	 	 	 	 	 	 	가랏	 	가래지, 반대	 	가래지	 	 	 	 	 	볏과의 한해살이풀
가락	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	가라기, 뱅고리	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가락고동	[명사][방언]	NNG	00_00_00	 	 	 	골구사리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	물레의 왼쪽에 있는 괴머리의 두 기둥에 가락을 걸기 위하여 고리처럼 만들어 박은 물건
가락국수	[명사][방언]	NNG	00_00_00	가락국시	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가락을 굵게 뽑은 국수의 하나. 
가락꼬치	[명사][방언]	NNG	00_00_00	 	 	 	가락꼬지	 	 	 	 	 	 	가래꼬치	 	 	 	 	 	 	 	물레로 실을 자을 때 실이 감기는 쇠꼬챙이.
가락옷	[명사][방언]	NNG	00_00_00	가락쌈, 가락피	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	물렛가락에 실을 자아 감을 때, 가락의 아랫몸에 입히는 종이나 지푸라기
가락지	[명사][방언]	NNG	00_00_00	까락지	 	까락지	까락지	까락지	까락지	까락지	 	가락주, 가락쥐	 	 	 	 	 	까락지	 	까락지	 	주로 여자가 장식으로 손가락에 끼는 두 짝의 고리.
가랑니	[명사][방언]	NNG	00_00_00	깔깡니	 	 	깔방니, 까랑니	 	 	 	 	 	 	싸그랑니, 싸그랭이	 	 	 	 	 	 	 	서캐에서 깨어 나온 지 얼마 안 되는 새끼 이.
가랑무	[명사][방언]	NNG	00_00_00	가다리무, 가다리무꾸, 가달무, 가달무꾸, 가달배무, 가달배이무꾸, 가달뱅이무, 가랑무이	 	 	 	 	 	 	 	 	 	 	가달무끼, 가달배이무꾸, 가달배이무끼, 가달뱅이무끼, 뱅이무끼	 	 	 	 	 	 	제대로 굵게 자라지 못하고 밑동이 두세 가랑이로 갈라진 무
가랑비	[명사][방언]	NNG	00_00_00	갈가랑비, 쌔스랑비	가는비	가시랑비, 가는비, 가락비, 가실비, 까랑비, 깔그랑비, 보실비, 부실비, 사락비, 싸래기비	가락비, 가랭비, 가른비, 가스랑비, 갈가랑비, 갈거랑비, 갈그랑이, 깔그랑비	가는비, 가랭비, 가링비, 느테비, 느테미, 보실비, 부술비, 부실비, 뽀슬비	가는비, 까랑비	가느랑비, 가느랭비, 가는비, 가랭비, 거스렁비, 까랑비	거스렁비, 까랑비	고랑비, 줌버이, 줌베이, 줌벵이	가는비, 넝개비, 소스락비	가는비, 넝개비, 소스락비	가는비, 보온비, 오솔비	가는비, 가랭비, 안개오좀, 큰전새	가는비	가는비, 큰전새	넝개비, 소스락비	가는비, 보온비, 싸래기비, 오솔비	 	가늘게 내리는 비. 이슬비보다는 좀 굵다.
가랑비	[명사][방언]	NNG	00_00_01	갈강비, 갈그랑비	 	가그랑비, 갈강비, 갈방비, 구설비, 까실비	갈강비, 갈그랑비, 갈방비	 	 	 	갈강비	 	보수락비	능개비, 보수락비	싸그랑비, 싸락비	 	갈랑비	 	 	 	 	가늘게 내리는 비. 이슬비보다는 좀 굵다.
가랑이	[명사][방언]	NNG	00_00_00	가달뱅이, 가라이, 가래이, 가리이	가래이	가랑테이, 가래이, 가랭텡이, 까래이	가구쟁이, 가라이, 가래이, 갈구재이, 다라지	가라이, 가랑태이, 가랑구, 가랑뎅이, 가랑지, 가래이, 가랭태이, 가리젱이, 가자이, 가재이, 가지랭이	가래이, 가르쟁이, 가리재이, 가지라이, 가지랑, 가지래이, 가지랭이	가라이, 가래이, 가래쟁이, 가르쟁이, 가주쟁이, 가지랭이, 개래이	가라이, 가래이	가래이	 	 	 	 	갈래이, 갈랭이	 	 	 	 	미존재 뜻풀이
가랑이	[명사][방언]	NNG	01_00_00	 	 	가리, 가리쟁이, 갈구쟁이	가구재이, 갈구쟁이	가랑텡이	 	 	 	 	 	 	가다리, 도래	가다리, 도래	 	 	 	 	 	하나의 몸에서 끝이 갈라져 두 갈래로 벌어진 부분.
가랑이지다	[동사][방언]	VV	00_00_00	가다리지다, 가달지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	아래쪽이나 한끝이 갈라지다.
가랑잎	[명사][방언]	NNG	00_00_00	가닥잎, 가둑잎, 가랑이파구, 가랑이파리	 	갈방이파리, 갈방입, 갈방입사구, 갈방잎	가랑이파리, 가랑잎사구, 까랍때기, 까랍데기, 까랍덱	떡갈나무입삭	 	가랑입새	 	 	가둑닢, 서가랑닢	가둑닢	가두닢, 가둑잎	가둑잎	 	가둑잎	가둑잎	가둑잎	 	미존재 뜻풀이
가랑잎	[명사][방언]	NNG	01_00_00	가두기	 	 	 	 	 	 	 	 	가래기	가두기, 가래기	가두기	가두기	 	 	 	 	 	활엽수의 마른 잎.
가래	[명사][방언]	NNG	00_00_00	가래삽, 가래추지, 가렝이, 당추재	 	가라추자, 가래추자, 가래줌, 가리줌, 소곰포	가래추자, 가래추지, 산추자, 소곰포, 쉐금포	가래착	가래추자	개래, 가래호두	가래추자, 산추자	가레죽, 갈래죽, 삽가레, 줄갈래	 	 	강차위, 강차이, 광차우, 광차이, 광창이, 당추재	광차이, 광창이, 광치위	 	 	 	 	 	미존재 뜻풀이
가래	[명사][방언]	NNG	03_00_00	 	 	가래지움	살짝, 살피, 수굼포	 	 	 	 	 	 	 	 	 	 	 	 	 	 	흙을 파헤치거나 떠서 던지는 기구.
가래	[명사][방언]	NNG	06_00_00	 	 	 	삼포	 	 	 	 	 	 	 	 	 	 	 	 	 	 	허파에서 후두에 이르는 사이에서 생기는 끈끈한 분비물
가래나무	[명사][방언]	NNG	00_00_00	가래낭그, 가래낭기, 추지낭그, 취지낭그, 취지낭기	 	 	 	 	 	 	 	 	 	 	 	갈냉기	 	 	 	 	 	가래나뭇과의 낙엽 활엽 교목
가래다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	갈개다	갈개다	 	 	 	 	 	 	 	맞서서 옳고 그름을 따지다.
가래떡	[명사][방언]	NNG	00_00_00	가락떡, 이떡, 힌떡, 힌떡가래	갈래떡, 흰떡가래, 힌떡	떡국가래, 게미떡, 골미떡, 국가랭이, 권미떡	가리떡, 골미떡, 골비떡, 떡가래이, 떡골미, 떡골비	데떡, 국가래, 국떡, 떡국가리, 떡국건지	떡대	흔떡, 걸목가래, 흔떡가래, 흰떡가래, 힌떡가래	떡가래, 흔떡가래	갈미떡	 	 	 	떡국대, 국떼기	 	 	 	 	 	가는 원통형으로 길게 뽑아 일정한 길이로 자른 흰떡.
가래상어	[명사][방언]	NNG	00_00_00	 	 	주게가부리, 슈거리	 	 	 	 	 	우굼상의, 갈래죽상의	 	수구리	 	 	 	 	 	 	 	가래상엇과의 바닷물고기
가래질	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	가레죽질, 갈래죽질, 갈레질	 	 	 	 	 	 	 	 	 	가래로 흙 따위를 퍼 옮기는 일.
가래침	[명사][방언]	NNG	00_00_00	가래춤	 	가래춤	 	가래춤, 가리춤	 	 	 	게춤, 게침	 	가라춤	 	 	 	 	 	 	 	가래가 섞인 침.
가래톳	[명사][방언]	NNG	00_00_00	가래멍어리, 가래덩어리, 가래멍어, 가래툿, 가리토시	 	가래툿, 가러톳, 가리토시, 가리톳	가럼망알, 가럼망울, 가리말	가래덧, 가래때, 가래뜻, 가래텃, 가래틋, 가랫도리, 가랫터, 가리때, 가리태, 가리터, 가릿대	가라투, 가래똘, 가래투, 가리때	가래때, 가랫덕, 가랫덧, 가리때	 	느진돌	 	가라지, 다리낌	 	 	 	 	 	 	 	허벅다리 윗부분의 림프절이 부어 생긴 멍울.
가랫장부	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	가랫장치	가랫장치	 	 	가래당구, 가래군두, 가랫당부	 	 	 	 	 	 	 	가래의 자루와 가랫바닥.
가랫줄	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가래낀	 	 	 	 	 	 	가랫바닥의 양 옆에 맨 줄.
가량	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가랭	 	 	 	 	 	 	미존재 뜻풀이
가량가량하다	[형용사][방언]	VA	00_00_00	개랑개랑하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	얼굴이나 몸이 야윈 듯하면서도 탄력성이 있고 부드럽다.
가려내다	[동사][방언]	VV	00_00_00	가레내다	 	가리내다, 갈리내다, 개라내다, 개리내다, 갤리내다, 주와내다	갈레내다	개리내다, 주워내다, 추레내다, 추려내다, 추리내다, 취레내다	가리내다, 개레내다, 추레내다, 추리내다	 	 	주워내다	 	 	 	 	 	 	 	 	 	여럿 가운데서 일정한 것을 골라내다.
가려듣다	[동사][방언]	VV	00_00_00	 	 	골라듣다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	내용을 분간하여 알다.
가려움	[명사][방언]	NNG	00_00_00	개룸	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	긁고 싶은 기분을 일으키는 감각.
가려움증	[명사][방언]	NNG	00_00_00	 	 	 	 	개란정, 개란증	개란증	 	 	 	 	 	 	 	 	 	 	 	 	가려운 증세.
가려잡다	[동사][방언]	VV	00_00_00	가레잡다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	여럿 가운데서 골라서 가지다.
가려지다	[동사][방언]	VV	00_00_00	가레지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
